"","CELL1_TREATMENT1","CELL2_TREATMENT1"
"ENSG00000116906",0.610206765044257,0.296838833417372
"ENSG00000143321",0.598945683249604,0.462461913423076
"ENSG00000154380",0.740503485896298,0.00488673099412676
"ENSG00000143740",0.633321075864525,0.559720209627001
"ENSG00000186501",0.806623875663083,0.08878987297561
"ENSG00000117335",0.885049954528032,0.0038588589906063
"ENSG00000198793",0.246552401218075,3.96066418939242e-06
"ENSG00000116898",0.755177351619412,0.00675056340480674
"ENSG00000151353",0.580129274427439,0.952848654546338
"ENSG00000224051",0.847034191157586,0.125167483597252
"ENSG00000132781",0.366772636991816,0.281278030140671
"ENSG00000116747",0.425738989468705,0.626291497342556
"ENSG00000079277",0.564800874648814,0.0410884429734239
"ENSG00000134313",0.677129166454238,0.207699717248924
"ENSG00000159363",0.272138924321427,7.10506539980381e-06
"ENSG00000117748",0.64939125765602,0.616691236012498
"ENSG00000121957",0.690302619716995,0.043072903436004
"ENSG00000125944",0.32710724214288,0.515236186230086
"ENSG00000163486",0.826780390779622,0.00604989264676248
"ENSG00000131778",0.529037246102518,0.543826470159329
"ENSG00000116815",0.229614564948351,0.0237069792340329
"ENSG00000116918",0.692812391484144,0.00525590440034479
"ENSG00000116903",0.762160553502415,0.0731143329540364
"ENSG00000157933",0.691639334881191,0.0700109276697764
"ENSG00000117133",0.497424495961296,0.117059782736183
"ENSG00000142784",0.774518303526978,0.743495311266424
"ENSG00000162976",0.718106439419853,0.234316394885154
"ENSG00000117419",0.895875486204558,0.89881372466382
"ENSG00000134697",0.335861731092872,0.37096768169533
"ENSG00000069424",0.726807859419387,0.9184188259096
"ENSG00000143207",0.814381809329648,0.525803965337263
"ENSG00000198744",0.985483276207281,0.00106038840957228
"ENSG00000025800",0.983832749737,0.00318302202636948
"ENSG00000221978",0.961724550852773,0.0141024681756054
"ENSG00000163386",0.682200083100076,0.122042351731698
"ENSG00000173660",0.96016447356788,0.0322166602108053
"ENSG00000066322",0.942498864562703,0.608655551985913
